param,accuracy,recall,precision,f_measure,time,time_bpso,jum_seleksi,selisih
1,95.312,97.447,95.0,96.179,0.04803,234.4217,13,95.312
2,96.875,97.998,97.0,97.474,0.0385,233.72926,12,1.5630000000000024
3,96.25,97.548,96.5,96.999,0.02461,227.62318,8,0.625
4,96.25,98.021,96.0,96.919,0.02985,213.33988,9,0.0
5,96.875,98.024,97.0,97.487,0.03166,211.66498,9,0.625
6,96.562,97.998,96.5,97.204,0.04105,290.61807,11,0.3130000000000024
7,96.25,98.0,96.0,96.961,0.03333,233.10454,11,0.3119999999999976
8,96.562,97.571,97.0,97.255,0.03745,236.02689,12,0.3119999999999976
9,96.875,97.998,97.0,97.474,0.02801,222.08182,10,0.3130000000000024
10,96.562,97.974,96.5,97.218,0.03013,235.31468,9,0.3130000000000024
11,96.875,98.024,97.0,97.487,0.02713,237.68658,10,0.3130000000000024
12,96.562,97.998,96.5,97.218,0.03525,227.16354,11,0.3130000000000024
13,95.938,97.971,95.5,96.679,0.06294,273.01753,15,0.6239999999999952
14,96.25,97.997,96.0,96.948,0.07146,352.09105,12,0.3119999999999976
15,96.875,98.024,97.0,97.487,0.05236,321.11977,12,0.625
